mention_id	original_mention	overall_linkable	ngram_linkable	overall_wikipedia_link	ngram_wikipedia_link
1	实体名	True	True	wikipedia链接	[{'ngram_mention': '实体名', 'wikipedia_link': '相关实体链接'}]
2	handle_pte_fault	False	False		[]
3	mmu cache update	False	False		[]
4	PTE_MARKER_POISONED	False	False		[]
5	CONFIG_NUMA	False	False		[]
6	NUMA PTE faults	False	True		[{'ngram_mention': 'NUMA PTE faults', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Non-uniform_memory_access'}, {'ngram_mention': 'NUMA PTE faults', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Page_fault'}, {'ngram_mention': 'NUMA PTE faults', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Locality_of_reference'}]
7	destroy_large_folio()	False	False		[]
8	in hpage_collapse_scan_file()	False	False		[]
9	Static random selection	False	False		[]
10	mmap lock hold time	False	False		[]
11	do_cow_fault	False	False		[]
12	THPs	False	False		[]
13	per-page to per-folio	False	False		[]
14	kunit	False	False		[]
15	THP	False	False		[]
16	gup test matrix	False	False		[]
17	cacheline	False	True		[{'ngram_mention': 'cacheline', 'wikipedia_link': 'https://en.wikipedia.org/wiki/False_sharing'}]
18	VMA insertion	False	False		[]
19	buffer	False	False		[]
20	userfaultfd API	False	False		[]
21	destroy_large_folio	False	False		[]
22	VMA operations	False	False		[]
23	for large folio	False	True		[{'ngram_mention': 'for large folio', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Contiguous_memory_allocation'}, {'ngram_mention': 'for large folio', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Translation_lookaside_buffer'}]
24	Per-page to Per-folio	False	False		[]
25	MADV_UNMERGEABLE	False	False		[]
26	Entirely	False	False		[]
27	filemap_map_folio_range()	False	True		[{'ngram_mention': 'filemap_map_folio_range()', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Memory-mapped_file'}]
28	Unneeded	False	False		[]
29	__lruvec_stat for large folio	False	False		[]
30	folio_add_file_rmap_range()	False	False		[]
31	slab allocator	True	False	https://en.wikipedia.org/wiki/Slab_allocation	[]
32	KSM-placed zeropages	False	True		[{'ngram_mention': 'KSM-placed zeropages', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Kernel_same-page_merging'}]
33	If cachefiles object contains data when opened	False	False		[]
34	truncate_inode_pages_final	False	False		[]
35	critical section	True	False	https://en.wikipedia.org/wiki/Critical_section	[]
36	vma_assert_write_locked()	False	False		[]
37	bio_first_folio_all()	False	False		[]
38	pgtable management	False	False		[]
39	OSQ_Lock	False	True		[{'ngram_mention': 'OSQ_Lock', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Compare-and-swap'}, {'ngram_mention': 'OSQ_Lock', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Spinlock#MCS_lock'}]
40	NUMA migration handling	True	False	https://en.wikipedia.org/wiki/Demand_paging https://en.wikipedia.org/wiki/Non-uniform_memory_access#Balancing_and_optimization	[]
41	hugetlb gup requests	False	False		[]
42	folio_undo_large_rmappable()	False	False		[]
43	ops->migrate_to_ram	False	False		[]
44	KVM	True	False	https://en.wikipedia.org/wiki/Kernel-based_Virtual_Machine	[]
45	replace_page_tables()	False	True		[{'ngram_mention': 'replace_page_tables()', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Read-copy-update'}]
46	page table range API	False	False		[]
47	vma lock	False	False		[]
48	own ioremap_prot(), ioremap() and iounmap() definitions	False	False		[]
49	Architectures	False	False		[]
50	do_shared_fault	True	False	https://en.wikipedia.org/wiki/Demand_paging	[]
51	accessed bit	True	False	https://en.wikipedia.org/wiki/Dirty_bit	[]
52	page_add_file_rmap	False	False		[]
53	Per-VMA locks	False	True		[{'ngram_mention': 'Per-VMA locks', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Lock_(computer_science)#Fine-grained_locking'}, {'ngram_mention': 'Per-VMA locks', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Readers%E2%80%93writer_lock'}]
54	change in flag granularity	False	False		[]
55	Nios2 architecture	True	False	https://en.wikipedia.org/wiki/Nios_II	[]
56	follow_hugetlb_page	False	False		[]
57	numa_cma=	False	True		[{'ngram_mention': 'numa_cma=', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Non-uniform_memory_access'}]
58	OpenRISC architecture	False	True		[{'ngram_mention': 'OpenRISC architecture', 'wikipedia_link': 'https://en.wikipedia.org/wiki/OpenRISC'}]
59	collapse_pte_mapped_thp()	False	False		[]
60	swapcache	False	True		[{'ngram_mention': 'swapcache', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Page_cache'}, {'ngram_mention': 'swapcache', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Page_replacement_algorithm'}]
61	specifying optional tests	False	False		[]
62	cma_declare_contiguous_nid()	False	False		[]
63	DAMON	False	True		[{'ngram_mention': 'DAMON', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Profiling_(computer_programming)'}]
64	lseek after HWPOISON subpage	False	True		[{'ngram_mention': 'lseek after HWPOISON subpage', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Seek_(computing)'}, {'ngram_mention': 'lseek after HWPOISON subpage', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Page_(computer_memory)#Huge_pages'}]
65	multiple copies of generic slab caches	False	True		[{'ngram_mention': 'multiple copies of generic slab caches', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Slab_allocation'}]
66	vma_start_write()	False	False		[]
67	__get_user_pages()	False	False		[]
68	DMA_PERNUMA_CMA	False	False		[]
69	PG_dcache_clean	False	True		[{'ngram_mention': 'PG_dcache_clean', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Cache_coherence'}, {'ngram_mention': 'PG_dcache_clean', 'wikipedia_link': 'https://en.wikipedia.org/wiki/CPU_cache'}]
70	DAMOS tried regions	False	False		[]
71	CoW	True	False	https://en.wikipedia.org/wiki/Copy-on-write	[]
72	gup_test	False	False		[]
73	Operations on file's i_mmap tree	False	False		[]
74	HUGETLB_PAGE_DTOR	False	False		[]
75	i_mmap tree	False	True		[{'ngram_mention': 'i_mmap tree', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Mmap'}]
76	llist_del_all	False	False		[]
77	flush_dcache_folio()	False	True		[{'ngram_mention': 'flush_dcache_folio()', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Directory_(computing)#Lookup_cache'}, {'ngram_mention': 'flush_dcache_folio()', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Cache_control_instruction'}, {'ngram_mention': 'flush_dcache_folio()', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Cache_invalidation'}]
78	pmd_ptlock_init()	False	False		[]
79	vma locking	False	True		[{'ngram_mention': 'vma locking', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Virtual_memory'}]
80	pgtable_pte_ctor	False	True		[{'ngram_mention': 'pgtable_pte_ctor', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Page_table#PTE'}]
81	free_transhuge_folio()	False	True		[{'ngram_mention': 'free_transhuge_folio()', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Page_(computer_memory)'}]
82	separate cache line	False	True		[{'ngram_mention': 'separate cache line', 'wikipedia_link': 'https://en.wikipedia.org/wiki/False_sharing'}, {'ngram_mention': 'separate cache line', 'wikipedia_link': 'https://en.wikipedia.org/wiki/CPU_cache'}, {'ngram_mention': 'separate cache line', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Data_structure_alignment'}]
83	descriptor	False	True		[{'ngram_mention': 'descriptor', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Descriptor'}]
84	Minor performance overhead	False	True		[{'ngram_mention': 'Minor performance overhead', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Overhead_(computing)'}]
85	Parisc architecture	True	False	https://en.wikipedia.org/wiki/PA-RISC	[]
