feature_id,feature_description
37708,adc: add max11410 adc driver
18206,lightnvm Remove rrpc
24766,ionic: add the ionic driver supporting the Pensando ethernet device
14340,Add support for per-UID routing. It allows the administrator to configure rules such as: . This functionality has been in use by all Android devices since 5.0. It is primarily used to impose per-app routing policies (on Android every app has its own UID) without having to resort to rerouting packets in iptables which breaks  and MTU/MSS calculation and generally disrupts end-to-end connectivity
18484,ath10k Add memory dump support for QCA6174/QCA9377
25360,
23262,Btrfs Detect fast implementation of crc32c on all architectures
30033,Btrfs Improve Preemptive background flushing: separate the logic from ticket reservations improve the accounting and decisions when to flush in low space conditions
8667,Notify for dropped Deauth/Disassoc
26202,pmbus/ucd9000: Add support for UCD90320 Power Sequencer
8818,cgroups Make 'procs' file writable
43098,tracing: allow user space to memory map the ring buffer (). It will get all the write sub-buffers as well as reader sub-buffer (that is not written to). It can send an ioctl to change which sub-buffer is the new reader sub-buffer
28056,smccc: Add ARCH_SOC_ID support
6073,Au1000 On-Chip Counter0-as-RTC driver.
10954,netfilter Add netfilter ingress hook this allows to classify packets from ingress using the Netfilter infrastructure
178,ppc64: iSeries virtual tape driver
12766,(FEATURED) Android's sync_file fencing mechanism considered stable
14247,extcon: Introduce EXTCON_PROP_USB_SS property for  mode
29992,soc: qcom: rpmpd: Add MSM8939 power-domains
34571,interconnect: qcom: Add EPSS L3 support on SC7280
7653,RDS: Add GET_MR_FOR_DEST sockopt
28008,Add the Xilinx DisplayPort DMA engine driver
6149,Memory management Add /proc controls for pdflush threads
3762,53c7xx: kill driver. Support is added below
31628,parsers: ofpart: support Linksys Northstar partitions
41716,perf tools: Add --debug-file option to redirect debug output
6280,ARM Add gpiolib support to AT91
32823,bnxt_en count packets discarded because of netpoll
2755,In-kernel sockets API for in-kernel users like sunrpc cifs & ocfs2 etc and any future users
39194,BPF veristat: add better support of freplace programs
25458,perf report: Support  for  or not showing entries under that percent
31774,"seccomp: Add ""atomic addfd + send reply"" mode to SECCOMP_USER_NOTIF to better handle EINTR races visible to seccomp monitors"
38265,power: supply: bq25890: Add support for setting user charge current and voltage limit
34548,socionext: Introduce some features for UniPhier
10570,ethtool: Support for configurable RSS hash function
33202,BPF libbpf: support custom .rodata.*/.data.* sections
2805,
25040,r8169: add support for RTL8117
3751,DDB5477: remove driver bits of support
537,3ware 9000 SATA-RAID driver 
3022,New toplevel target: headers_check_all
10455,top Handle 'z' key for toggle zeroing samples in TUI
8770,Cache xattr security drop check for write: benchmarking on btrfs showed that a major scaling bottleneck on large systems on btrfs is currently the xattr lookup on every write which causes an additional tree walk hitting some per file system locks and quite bad scalability. This is also a problem in ext4 where it hits the global mbcache lock. Caching this check solves the problem
20292,amdkfd Add Raven support
6938,sc6000: add support for SC-6600 and SC-7000
7823,i2400m: minimal ethtool support
1707,Add generic memory add/remove and supporting functions for memory hotplug
40832,mlx5e: Add recovery flow for tx devlink health reporter for unhealthy PTP SQ
33614,rtw88: support adaptivity for ETSI/JP DFS region
6804,SH remove old TMU driver
12976,xgene: Enable ACPI support for X-Gene GFC GPIO driver
19255,ASoC Intel: add nau8824 sound card
13911,X86 perf: Add Knights Mill CPUID
25111,HID ite: Add USB id match for Acer SW5-012 keyboard dock
36043,Two wireless routers based on Broadcom bcm4708
41299,iommu/amd: SVA Support (Part 1) - cleanup/refactoring               (part 2) - deprecate iommu_v2 module
31684,idxd Add support for readonly config mode
38974,Remove s3c24xx driver
4257,hifn_795x: HIFN 795x crypto accelerator driver
6611,CIFS Add mention of new mount parm (forceuid) to cifs readme
21827,accel: kxcjk1013: Add KIOX0009 ACPI Hardware-ID
34662,page_pool: Add stats counters
8567,Add support for heartbeat=global mount option
1136,r8169: netconsole support
34985,qcom: Add display clock controller driver for SM6125
13095,Introduce iomap infrastructure for multipage buffered writes
22810,KVM: Book3S HV: add XIVE native exploitation mode
26371,vmstat: add stat for hugepage fallback. The existing  indicates when thp attempts to allocate a hugepage but fails or if the hugepage cannot be charged to the mem cgroup hierarchy. This release extends this to shmem as well and adds a new  to complement  that gets incremented when a hugepage is attempted to be allocated but fails or if it cannot be charged to the mem cgroup hierarchy
43518,Add X-Powers AXP717 PMIC support
8415,KVM Support for tracing emulated instructions
20511,v4l: enables the video standards to be controlled directly on the subdev device node
39803,xen: speed up grant-table reclaim
661,Add DEVPATH env variable to hotplug helper call
16965,perf  perf buildid-cache: Cache debuginfo
25722,(FEATURED) WireGuard secure network tunnel
1509,AGP support for powermac G5
36537,Add a panel API to set orientation properly
19137,Bluetooth hci_bcm: Add ACPI HIDs found in Windows .inf files and DSTDs
18510,iwlwifi:  remove TCP wakeup support
27380,panel nt39016: Add support for 50 Hz refresh rate
20010,MC13783: Add uid and die temperature sensor inputs
43077,blk-throttle: support enable and disable during runtime
44403,phy: phy-rockchip-samsung-hdptx: Add clock provider support
37148,RDMA srp: Support more than 255 rdma ports
15435,
3141,SCSI qla2xxx: Add MSI-X support.
20848,ARM64 Support for the new ARMv8.5 PSTATE.SSBS bit which can be used to mitigate Spectre-v4 dynamically without trapping to EL3 firmware
33391,KVM Add AMD SEV and SEV-ES intra host migration support
42638,Add support for ETML1010G3DRA LVDS display on phyBOARD-Pollux
28956,bnxt_en Add a software counter for RX ring reset
11780,qat: Support for Intel C3xxx with Intel Quick Assist Technology for accelerating crypto and compression workloads
21178,bcm: add Northstar driver
42337,
28769,Allow multiple bits in  parameter
32522,dma-buf: Add support for mapping hugepages
8702,PM: Add support for device power domains
18165,PCI/AER: Add uevents in AER and EEH error/resume
42021,mvmdio: Support setting the MDC frequency on XSMI controllers
19941,dwc3: Add Qualcomm DWC3 glue driver
43702,migrate: support poison recover from migrate folio
14451,Platforms thinkpad_acpi: Add support for X1 Yoga (2016) Tablet Mode  adding new hotkey ID for Lenovo Thinkpad
39629,imx93: Add nic and A55 clk
36596,tools/power turbostat Add support for ALDERLAKE_N
3216,tifm_core: add suspend/resume infrastructure for tifm devices
21349,Give a interface to adjust io timeout by device
23775,sun6i: Support A83T variant
8908,
28618,BPF Add d_path helper function that returns full path for given 'struct path' object which needs to be the kernel BTF 'path' object
5241,mpc83xx_wdt: add support for MPC86xx CPUs
43814,renesas: rzg2l Add support to configure slew-rate
13843,TIPC Add the ability to get UDP options via netlink
26231,io_uring Support for statx(2)
35832,remoteproc: qcom: pas: Add MSM8226 ADSP support
3757,snd-ca0106: Add support for X-Fi Extreme Audio.
26800,Add driver to control USB fast charge for iOS devices
15679,X86 RAS: Add a Corrected Errors Collector
39054,
3289,ARM Add ability to dump exception stacks to kernel backtraces
14459,PPC xmon: Add 'dt' command to dump trace buffers
36528,Add LoongArch-related irqchip drivers
39875,Robustify boot sequence and add support for WXN
43482,xpad: add support for ASUS ROG RAIKIRI PRO
30436,ice Introduce function for reading from flash modules
27754,qcom: gcc-msm8939: Add MSM8939 Generic Clock Controller
37365,power supply: mt6370: Add MediaTek MT6370 charger driver
16196,
18169,XFS Show realtime device stats on statfs calls if realtime flags set
2168,debugfs: Add debugfs_create_blob() helper for exporting binary data
9425,SCTP: Make HMAC algorithm selection for cookie generation dynamic
38045,can: remove obsolete PCH CAN driver
23154,lm3532: Introduce the lm3532 LED driver
43835,imu: inv_icm42600: add support of accel low power
26286,Generic page table walk and kernel page table dump (ptdump) via debugfs
12132,i915 bxt: update list of PCIIDs
27527,mvneta: Add 2500BaseX support for SoCs without comphy
13495,HID hid-led: add support for devices with multiple independent LEDs
39288,intel: Add Granite Rapids
17016,netfilter netfilter: nf_tables: support for recursive chain deletion
26336,Btrfs Add full support for cloning inline extents
18682,sdhci-pci: Add CQHCI support for Intel GLK
1336,reiserfs: make resize option auto-get new device size
23379,Netfilter Support to match IPv4 options in nf_tables
