feature_id,feature_description,version
29024,marvell: prestera: Add Switchdev driver for Prestera family ASIC device 98DX3255 (AC3x),5.10
12602,Support Generic Segmentation Offload/Generic Receive Offload in ip4ip6  and ip6ip6,4.7
25621,PLX Switch DMA Engine Driver,5.6
37041,KVM: VMX: Support updated eVMCSv1 revision,6.1
5332,driver core: basic infrastructure for per-module dynamic debug messages,2.6.28
38277,,6.3
3714,S390 z/VM unit record device driver,2.6.23
4529,drivers-edac add Cell MC driver,2.6.25
27515,mt76 mt7615: enable MSI by default,5.8
23744,ASoC SOF: soundwire: add initial soundwire support,5.3
38398,bpf: Add ipip6 and ip6ip decap support for bpf_skb_adjust_room(),6.3
12493,bcma: support identifying MX25L25635F serial flash,4.6
9434,,3.9
1939,Add IFB (Intermediate Functional Block) network device: a new device to do intermediate functional block in a system shared manner. The new functionality can be grouped as: 1) qdiscs/policies that are per device as opposed to system wide. ifb allows for a device which can be redirected to thus providing an impression of sharing. 2) Allows for queueing incoming traffic for shaping instead of dropping. Packets are redirected to this device using tc/action mirred redirect construct,2.6.16
2219,Introduce tunnel4/tunnel6,2.6.17
34804,Add a driver for the og01a1b camera sensor,5.18
1924,Add new and more efficient multiplexer implementation,2.6.16
32413,cxl CXL ACPI tables for object creation,5.14
43069,Improve visibility of writeback: 1) /sys/kernel/debug/bdi/xxx/stats show writeback info of whole bdi instead of only writeback info in root cgroup 2) debug file /sys/kernel/debug/bdi/xxx/wb_stats to show per wb writeback 3) wb_monitor.py script to monitor basic writeback info of running system,6.10
4029,tdfxfb: mtrr support  hardware cursor,2.6.24
41656,CIFS Reschedule periodic query for server interfaces,6.8
39650,ipu3-cio2: support multiple sensors and VCMs with same HID,6.4
5185,ivtv: add support for the Buffalo PC-MV5L/PCI card.,2.6.27
37100,hdmi: Add audio_infoframe packing for DP,6.1
4277,x86 kprobe-booster for x86-64,2.6.25
34020,Device Tree Sources New SoC: Qualcomm gets support for two newly announced platforms both of hich can now work in production environments: the SDX65 5G modem that can run a minimal Linux on its Cortex-A7 core and the Snapdragon 8 Gen 1 their latest high-end phone SoC,5.17
15550,TCP: Permit user set  to default value,4.12
