feature_id,h1,h2,feature_description,version
41272,Architectures,ARM,amlogic: Add support for T7 power domains controller,6.7
36992,Architectures,ARM,Device Tree Sources: New machines meson: add support for JetHome JetHub D1p (j110),6.1
23356,Networking,,User API and initial implementation for nexthop objects designed to improve the scalability of routes,5.3
22856,Drivers,Graphics,amdgpu NV12 planes support,5.2
1201,Drivers & architectures,,EDD: add edd=off and edd=skipmbr options,2.6.11
10992,File systems,,EXT4 Implement cgroup writeback support,4.3
10711,Core (various),,rcu: Add option to expedite grace periods during boot,4.1
35661,Drivers,Universal Serial Bus,serial: option: add Quectel BG95 modem,5.19
34113,Architectures,MIPS,BCM47XX: Add support for Netgear R6300 v1,5.17
18076,Drivers,Hardware monitoring  (hwmon),pmbus: Add driver for Maxim MAX31785 Intelligent Fan Controller,4.15
8232,Drivers,Sound,ASoC add support for the sh7722 Migo-R board,2.6.34
28597,Memory management,,Remove assumptions of THP size,5.10
12032,Architectures,,Device tree sources Add minimal Support for Logic PD DM3730 SOM-LV,4.6
43946,Networking,,Introduce IPPROTO_SMC,6.11
38713,Drivers,Networking,microchip: Add support for two classes of VCAP rules,6.3
43145,Networking,,ipv4: Remove RTO_ONLINK,6.10
36994,Architectures,ARM,Device Tree Sources: New machines qcom: sc7280: Add device tree for herobrine evoker,6.1
30385,Drivers,Networking,Bluetooth hci_bcm: Add support for ISO packets,5.12
28315,Drivers,Power Management,thermal mediatek: Add tsensor support for V2 thermal system,5.9
1258,Drivers & architectures,,USB: another usbnet ax8817x device (goodway docking station),2.6.11
30468,Drivers,Networking,mscc: ocelot: Configuring congestion watermarks on ocelot switch using devlink-sb,5.12
43857,Drivers,Hardware monitoring  (hwmon),max6639: Add additional hwmon attributes for fan and pwm,6.11
30796,Drivers,Clock,remove zte zx driver,5.12
27008,Core (various),,PM: allow to disable snapshot device,5.8
18568,Drivers,Networking,sfp Add support for 1000Base-PX and 1000Base-BX10,4.16
19715,Architectures,,RISCV perf: preliminary support,4.18
24134,Drivers,Watchdog,f71808e_wdt: Add F81803 support,5.4
33053,Drivers,LEDs,idxd: create dmaengine driver for wq 'device',5.15
23050,Drivers,Universal Serial Bus,mtu3: add debugfs interface files,5.2
27166,Networking,,802.11 Initial definitions for S1G (802.11ah),5.8
6515,Drivers,I2C,i2c-algo-pca: Add PCA9665 support,2.6.30
23495,Drivers,Graphics,amdgpu Color space ycbcr709 support,5.3
3426,Drivers,SATA/IDE/SCSI,IDE cmd64x: fix multiword and remove single-word DMA support,2.6.22
34446,Drivers,Real Time Clock (RTC),rv8803: Add support for the Epson RX8804 RTC,5.17
21615,Drivers,Drivers in the Staging area,iio:ad2s90: Move out of staging,5.0
34750,Drivers,Audio,HDA Add keep-alive support for ADL-P and DG2,5.18
631,,,NET: Allow get/set of dev->weight via netlink.,2.6.9
5554,Drivers,Network,sfc: Enable TSO for 802.1q VLAN devices  export boot configuration in EEPROM through ethtool,2.6.28
4014,Subsystems,Architecture-specific changes,AVR32 checkstack support,2.6.24
12524,File systems,,F2FS Speedup fallocate,4.7
314,,,Speed up readahead for seeky loads,2.6.7
10035,File systems,,Add ioctl to export size of global metadata reservation for better btrfs df reporting,3.14
1363,Drivers & architectures,,ARM: Sharp SCOOP - Add mutliple device support,2.6.12
18360,Architectures,,KVM Emulate RDPID,4.16
10574,Networking,,Wireless Allow scanning with random MAC addresses,3.19
11332,Drivers,Networking,mlx5e: Support smaller RX/TX ring sizes,4.3
19833,Drivers,Networking,hns3 Add support for IFF_ALLMULTI (receive all multicast packets) flag,4.18
25830,Architectures,S390,Add new reset vcpu API,5.6
35623,Drivers,"Tablets, touch screens, keyboards, mouses",Add support for Azoteq IQS7222A/B/C,5.19
6779,Architecture-specific changes,,MIPS Add register definitions for PCI.,2.6.31
42153,Drivers,Watchdog,s3c2410_wdt: Add support for Google gs101 SoC,6.8
22713,Networking,,ipvs: allow tunneling with gue encapsulation,5.2
2078,Various core changes,,kbuild: Improved modversioning support for external modules,2.6.17
2110,Architecture-specific,ARM,"proc-v6: page table walks with outer-cacheable attribute, and enable no-execute in page tables",2.6.17
17617,Networking,,BPF Enable generic transfer of metadata from XDP into skb meaning the packet has a flexible and programmable room for meta data which can later be used by BPF to set various skb members when passing up the stack,4.15
5026,Architecture-specific changes,,POWERPC POWER7 support,2.6.27
5489,Architecture-specific changes,,sparc64: Use generic CMOS driver.,2.6.28
18741,Drivers,Clock,qcom: Add spmi_pmic clock divider support,4.16
32288,Drivers,Serial,fsl_lpuart: add loopback support,5.14
34303,Drivers,Networking,iwlwifi mvm: synchronize with FW after multicast commands,5.17
25863,Drivers,Graphics,amdgpu gfxoff on navi10 and raven1 refresh,5.6
2895,Networking,,IPSEC Add encapsulation family.  * Add support for AES-XCBC-MAC,2.6.20
23711,Drivers,Networking,phy T1 support,5.3
21497,Architectures,X86,crypto Optimized XChaCha and NHPoly1305 (for Adiantum),5.0
15828,Drivers,Networking,dpaa_eth Enable Rx checksum offload,4.12
21392,"Tracing, perf and BPF",,perf trace: Allow suppressing the syscall argument names,5.0
13019,Drivers,Various,HSI: omap-ssi: add clk change support,4.7
9099,Virtualization,,KVM Allow host IRQ sharing for assigned PCI 2.3 devices,3.4
27557,Drivers,Networking,stmmac Add support for VLAN promiscuous mode,5.8
26333,Core (various),,Percpu-rwsem rewrite that uses its own waitqueue and atomic_t instead of an embedded rwsem. This addresses a couple of weaknesses but the primary motivation was complications on the real-time kernel,5.7
15777,Drivers,Drivers in the Staging area,android ion Remove import interface,4.12
7960,Drivers,Various,I2C i2c-stub: Implement I2C block support,2.6.33
30724,Drivers,General Purpose I/O (gpio),mvebu: add pwm support for Armada 8K/7K,5.12
41592,Drivers,REMOTE PROCESSOR (REMOTEPROC),Add support for MT8195 SCP 2nd core,6.7
26829,Drivers,Serial,fsl_lpuart: add LS1028A earlycon support,5.7
25995,Drivers,Networking,igc Add PHY power management control,5.6
5460,Architecture-specific changes,,PPC Add support for mpc8247 based board MGCOGE from keymile.,2.6.28
4455,Drivers,V4L/DVB,V4L: Add support for Syntek DC1125 webcams.,2.6.25
15150,Drivers,Networking,ath9k: Introduce airtime fairness scheduling between stations,4.11
5112,Networking,,netdev: Add support for rx flow hash configuration using ethtool.,2.6.27
33889,Core (various),,irq: [PCI]MSI refactoring which aims to provide the ability of expanding MSI-X vectors after enabling MSI-X,5.17
2461,Drivers and other subsystems,Various drivers,Bluetooth: add automatic sniff mode support  add suspend/resume support to the HCI USB driver,2.6.18
44676,Architectures,,Device Tree Sources qcom: msm8916-samsung-j3ltetw: Add initial device tree,6.12
37610,"Tracing, perf and BPF",,BPF Support storing struct cgroup * objects as kptrs,6.2
25072,Drivers,Audio,Sound Open Firmware Intel: initial support to JasperLake,5.5
25581,Architectures,ARM,ARM64 crypto: gcm-ce: implement 4 way interleave,5.5
43828,Drivers,Industrial I/O (iio),adc: ti-ads1119: Add driver,6.11
38174,Drivers,Audio,ASoC adau1372: add support for S24_LE mode,6.2
28344,Drivers,Networking,atlantic Adds more features to A2: half duplex rates EEE flow control link partner capabilities reporting phy loopback,5.9
40325,Drivers,Clock,samsung: Re-add support for Exynos4212 CPU clock,6.5
9548,Prominent features (the cool stuff),mutex locking scalability improvements,,3.10
39857,Architectures,ARM,Support for Armv8.8 memcpy instructions in userspace,6.5
4589,Subsystems,Filesystems,EXT4 Enable extent format for symlinks.,2.6.26
12399,Drivers,Industrial I/O (iio),adc mcp3422: Add support for MCP3425,4.6
