feature_id,h1,h2,feature_description,version
9072,File systems,,CIFS: Introduce credit-based flow control,3.4
11433,Drivers,USB,ftdi_sio: Added custom PID for  products,4.3
569,Drivers & architectures,,"PCMCIA: core socket sysfs support,export card type",2.6.8
41132,File systems,Btrfs,tree-checker: add type and sequence check for inline backrefs,6.7
2932,Drivers,Networking devices,bcm43xx: add PCI-E code,2.6.20
40781,Drivers,Bluetooth,btnxpuart: Improve inband Independent Reset handling,6.6
26119,Drivers,Serial Peripheral Interface (SPI),pxa2xx: Add support for Intel Comet Lake PCH-V,5.6
5271,Drivers,ACPI,"Create ""idle=halt"" bootparam",2.6.27
21521,Architectures,RISCV,Add audit support,5.0
29392,Networking,,packet protocol: make packet_fanout.arr size configurable up to 64K,5.11
28041,Drivers,"PHY (""physical layer"" framework)",bcm63xx-usbh: Add BCM63xx USBH driver,5.9
2667,Arch-independent changes in the kernel core,,Memory management Allow the removal of ZONE_DMA32 for non x86_64 architectures and ZONE_HIGHMEM for arches not using highmem (like 64 bit architectures). While they're not used on those arches they eat some memory and they've no sense on those platforms anyway so make it possible to disable them at compile time,2.6.19
44678,Architectures,,Device Tree Sources Add Nothing Phone (1) support,6.12
34415,Drivers,"TV tuners, webcams, video capturers",si2157: add ATV support for si2158,5.17
36853,Core (various),,fortify: Add run-time WARN for cross-field memcpy(),6.1
28486,Drivers,PCI,layerscape: Add EP mode support for ls1088a and ls2088a,5.10
1895,Architecture-specific,s390,"qdio V=V pass-through. QDIO and Hiper Sockets processing in z/VM V=V guest environments (as well as V=R with z/VM running in LPAR mode) requires shadowing of all QDIO architecture queue elements.  Especially the shadowing of SBALs and SLSBs structures in the hypervisor, and the need to issue SIGA SYNC operations to observe state changes, eventually causes significant CPU processing overhead in the hypervisor. The QDIO pass-through support for V=V guests avoids the shadowing of SBALs and SLSBs. This significantly reduces the hypervisor overhead for QDIO based I/O",2.6.16
37556,File systems,,F2FS Introduce max_ordered_discard sysfs node,6.2
24600,Architectures,S390,qeth: add TX NAPI support for IQD devices,5.4
17113,Architectures,,POWERPC Implement STRICT_KERNEL_RWX on PPC32,4.14
34815,Drivers,"TV tuners, webcams, video capturers",uvcvideo: Add support for Apple T2-attached FaceTime HD Camera,5.18
39846,Architectures,ARM,New boards (32 bit) Endian 4i Edge 200 based on the armv5 Marvell Kirkwood chip,6.5
44377,Drivers,Clock,imx: clk-audiomix: Improvement for audiomix,6.12
8287,Drivers,HID,Add support for Stantum multitouch panel,2.6.34
33435,Drivers,Graphics,Intel Use Transparent Hugepages when IOMMU is enabled,5.16
12008,Networking,,openvswitch Introduce a new flag  for operations which should be allowed inside a user namespace,4.6
37508,Drivers,Various,reset: add polarfire soc reset support,6.1
36256,Core (various),,Scheduler Improve NUMA imbalance behavior. On certain systems with spare capacity initial placement of tasks is non-deterministic and such an artificial placement imbalance can persist for a long time hurting performance. Note that some performance regressions were reported against this caused by workloads that are not memory bandwith limited which benefit from the artificial locality of the placement bug(s); the choice has been done that consistency is better than random workload benefits from non-deterministic bugs,6.0
3187,Drivers,ACPI,Add support for ACPI controlled removable drive bays such as the IBM ultrabay or the Dell Module Bay,2.6.21
14123,Drivers,"ACPI, EFI, cpufreq, thermal, Power Management",devfreq support rockchip dfi controller,4.9
7896,Drivers,V4L/DVB,soc-camera: add a new driver for the RJ54N1CB0C camera sensor from Sharp  add mt9t112 camera driver,2.6.33
20399,Drivers,Networking,lan743x: Add RSS support,4.19
42360,Core (various),,lib sort: Optimize the number of swaps and comparisons,6.9
13400,Drivers,Networking,ath10k: add pdev param support to enable/disable btcoex,4.8
5453,Architecture-specific changes,,PPC Make the 64-bit kernel as a position-independent executable,2.6.28
27935,Drivers,Watchdog,Support watchdog with longer timeout period,5.9
16696,Drivers,Serial Peripheral Interface (SPI),mediatek: add spi support for mt7622 IC  and for mt2712 IC,4.13
33364,Architectures,x86,"(FEATURED) Support Intel Advanced Matrix Extensions (AMX). These extensions will be shipping on servers soon. AMX consists of configurable TMM ""TILE"" registers plus new CPU instructions that operate on them. TMUL (Tile matrix MULtiply) is the first operator to take advantage of the new registers and we anticipate additional instructions in the future. Neither AMX state nor TMUL instructions depend on AVX",5.16
12851,Drivers,Audio,ASoC tlv320aic32x4: Add 96k sample rate  add SPI support,4.7
8153,Drivers,Storage,SATA/PATA ata_piix: IDE Mode SATA patch for Intel Cougar Point DeviceIDs,2.6.34
808,,,CRYPTO: Add Tnepres cipher support,2.6.10
11638,Prominent features,mlock2() syscall allow users to request memory to be locked on page fault,,4.4
