实体,出现次数
driver,4823
device,1176
perf,1054
Intel,1047
ASoC,1008
sysfs,741
mode,731
platform,693
controller,658
debugfs,596
devices,596
memory,587
qcom,578
kernel,574
interface,569
Device Tree,539
board,522
amdgpu,467
Sources,449
file,442
Device Tree Sources,435
ethtool,434
Bluetooth,431
module,423
ACPI,404
power,388
SCSI,377
hardware,362
clock,351
data,349
events,344
boards,342
offload,342
intel,337
firmware,333
panel,330
performance,329
mlx5,326
userspace,325
control,322
drivers,306
parameter,294
page,293
ioctl,293
core,292
regulator,289
mediatek,288
tree,288
bridge,275
port,263
iwlwifi,259
reset,259
device tree,250
IPv6,250
mount,249
ARM64,247
command,245
event,244
code,241
stats,241
feature,238
chip,235
statistics,233
sources,223
link,222
packet,222
scheduler,221
platforms,220
S390,219
files,217
F2FS,215
audio,213
management,212
state,211
codec,207
socket,207
cache,207
mt76,204
user,202
configuration,201
POWERPC,201
block,201
Device,201
tools,199
MIPS,199
queue,198
flag,198
version,197
sensor,197
size,196
Wireless,196
host,194
implementation,194
RDMA,193
system,191
thermal,187
infrastructure,186
info,185
PCIe,181
sysctl,181
packets,178
GPIO,178
pages,177
rockchip,176
address,174
Qualcomm,173
debug,172
features,172
device tree sources,171
buffer,170
crypto,170
tegra,169
CIFS,169
io_uring,166
machine,166
entry,165
netlink,164
target,164
netfilter,164
protocol,162
tracing,162
BTRFS,162
Netfilter,162
output,159
counters,158
pinctrl,158
time,156
table,156
information,153
stack,153
i915,152
cgroup,152
interrupt,150
Btrfs,150
switch,148
proc,148
mount option,148
card,147
Driver,146
Infiniband,146
suspend,143
improvements,141
CPUs,141
filter,138
function,138
status,138
PMIC,138
node,137
boot,137
media,136
counter,135
trace,134
format,133
renesas,132
Ethernet,131
scsi,131
dump,131
mlxsw,131
detection,130
error,130
runtime,130
config,129
policy,128
channel,127
HDMI,126
flow,126
gpio,126
stmmac,125
Tree,125
keys,124
flash,122
task,122
realtek,121
display,121
family,121
network,121
mlx5e,121
functions,119
systems,118
btusb,117
module parameter,117
spi-nor,117
machines,117
VLAN,115
chips,114
capability,114
variant,114
IPv4,114
devlink,113
generic,112
entries,111
metadata,111
watchdog,111
framework,110
SATA,110
cpufreq,109
hns3,109
stat,109
updates,108
bnxt_en,108
iommu,108
lock,108
list,107
Renesas,107
commands,107
rate,106
allocation,106
functionality,106
ALSA,105
vlan,105
process,105
flags,105
inode,104
number,104
clocks,104
64-bit,104
staging,104
hotplug,103
access,103
Marvell,103
multicast,103
timer,103
accel,102
irqchip,102
ftrace,101
hash,101
temperature,100
resume,99
speed,99
syscall,99
software,98
algorithm,98
touchscreen,98
space,98
board support,98
guest,97
PCI ID,97
write,97
model,96
parameters,96
Lenovo,96
virtio,96
locking,96
rtw89,95
device ID,95
capabilities,95
modules,95
controllers,95
interfaces,94
meson,94
client,94
Allwinner,94
Broadcom,94
latency,93
directory,93
R-Car,93
habanalabs,93
LWN article,93
filtering,92
programs,92
PCI IDs,91
stm32,91
ath10k,91
power management,91
processor,91
wifi,91
mapping,89
reporting,89
default,88
path,88
compression,88
NAND,88
vendor,88
security,87
Platforms,87
server,87
ath11k,87
cards,86
panel simple,86
modes,86
SoCs,86
mac80211,86
user space,86
mechanism,85
frequency,85
checksum,85
Controller,84
ports,84
802.11,84
tunnel,84
ethernet,83
nvme,83
Linux,83
arm64,83
sched,83
console,83
Samsung,83
context,82
NUMA,82
read,82
wireless,82
layer,82
flower,82
Amlogic,81
source,81
Task scheduler,81
operation,81
